Complaint,CodedMonth,DateOccur,FlagCrime,FlagUnfounded,FlagAdministrative,Count,FlagCleanup,Crime,District,Description,ILEADSAddress,ILEADSStreet,Neighborhood,LocationName,LocationComment,CADAddress,CADStreet,XCoord,YCoord
20-054917,2020-12,12/5/2020 19:00,Y, , ,1, ,91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",4907,NORTHLAND PL,55, , ,4907,NORTHLAND,890278.3,1032206
20-054914,2020-12,12/5/2020 19:05,Y, , ,1, ,32421,6,ROBBERY-RESIDENCE/STRNGARM/NO INJ/SUCCESS         ,5002,ROBIN AVE,72, , ,5002,ROBIN,890053.2,1043105
20-054916,2020-12,12/5/2020 19:25,Y, , ,1, ,67711,2,LARCENY-FROM BUILDING UNDER $500/ATTEMPT          ,2310,MCCAUSLAND AVE,10, ,@WALGREENS - MCCAUSLAND AND MANCHESTER,2310,MCCAUSLAND,874938.3,1013267
20-055191,2020-12,12/5/2020 19:30,Y, , ,1, ,64701,4,LARCENY-FROM MTR VEH UNDER $500                   ,110,17TH,36,City View,,110,17TH,0,0
20-055293,2020-12,12/5/2020 20:00,Y, , ,1, ,71040,1,AUTO THEFT-PERM RETNT/ATTEMPT                     ,3954,DOVER,3,,,3954,DOVER,0,0
20-054977,2020-12,12/5/2020 20:00,Y, , ,1, ,64711,4,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT         ,0,N COLLINS ST / LACLEDES LANDIN,35, , ,,,910220.6,1019017
20-054937,2020-12,12/5/2020 20:40,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3238,DR MARTIN LUTHER KING DR,77,ENGINE HOUSE 17,ALIAS 3238 DR MARTIN L KING CITY,3238,DR MARTIN LUTHER KING,898932.8,1023518
20-055008,2020-12,12/5/2020 21:00,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,6165,ALASKA AVE,1, , ,6165,ALASKA,890020.8,993737.5
20-054938,2020-12,12/5/2020 21:00,Y, , ,1, ,130000,5,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET    ",2700,BURD AVE,50, , ,2700,BURD,885713.6,1034699
20-054928,2020-12,12/5/2020 21:00,Y, , ,1, ,51212,1,BURGLARY-RESIDENCE/NIT/FORCE ENT/UNOCCUPIED       ,3625,LIERMANN AVE,16, , ,3625,LIERMANN,892880.7,1001805
20-054925,2020-12,12/5/2020 21:04,Y, , ,1, ,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,1300,N TUCKER BLVD,62, ,ZOOM,1301,TUCKER,907539.1,1021500
20-054927,2020-12,12/5/2020 21:14,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT                         ,0,S GRAND BLVD / LAFAYETTE AVE,31, , ,,,894754.3,1013697
20-054932,2020-12,12/5/2020 21:30,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,1437,PARK AVE,33, , ,1437,PARK,904096.4,1013181
20-054930,2020-12,12/5/2020 21:42,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,1445,DODIER ST,63, , ,1445,DODIER,905964.6,1026652
20-054940,2020-12,12/5/2020 22:00,Y, , ,1, ,41011,2,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,3269,MORGANFORD RD,15,STELLA BLUES, ,3267,MORGANFORD,888129.8,1006979
20-054940,2020-12,12/5/2020 22:00,Y, , ,1, ,41011,2,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,3269,MORGANFORD RD,15,STELLA BLUES, ,3267,MORGANFORD,888129.8,1006979
20-054940,2020-12,12/5/2020 22:00,Y, , ,1, ,41011,2,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,3269,MORGANFORD RD,15,STELLA BLUES, ,3267,MORGANFORD,888129.8,1006979
20-055015,2020-12,12/5/2020 22:00,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3949,MAGNOLIA AVE,27, , ,3949,MAGNOLIA,892130.7,1010389
20-055565,2020-12,12/5/2020 22:00,Y, , ,1, ,51322,1,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED       ,5248,NEOSHO,7,,,5248,NEOSHO,0,0
20-054985,2020-12,12/5/2020 22:30,Y, , ,1, ,64601,5,"LARCENY-FROM MTR VEH $500 - $24,999               ",4550,FOREST PARK AVE,38,DOUBLE TREE HOTEL, ,4550,FOREST PARK,888974.3,1021449
20-054933,2020-12,12/5/2020 22:33,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT                         ,0,N KINGSHIGHWAY BLVD / NATURAL,55, , ,,,891049,1035207
20-054934,2020-12,12/5/2020 22:36,Y, , ,1, ,263299,1,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL     ,5300,S COMPTON AVE,1, , ,5300,COMPTON,893408.1,995148.1
20-055929,2020-12,12/5/2020 22:52,Y, , ,1, ,69702,6,LARCENY-ALL OTHER UNDER $500                      ,1042,HORNSBY,74,,,1042,HORNSBY,0,0
20-055452,2020-12,12/5/2020 23:30,Y, , ,1, ,67701,5,LARCENY-FROM BUILDING UNDER $500                  ,1,PARKVIEW,38,BARNES-JEWISH PARKVIEW TOWERS,,1,PARKVIEW,0,0
20-054948,2020-12,12/6/2020 0:01,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT                         ,0,N 4TH ST / WASHINGTON AVE,35, ,CITY STREET,,,909581.6,1018292
20-054950,2020-12,12/6/2020 0:05,Y, , ,1, ,43015,4,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC           ,2205,ANGELICA ST,65, , ,2205,ANGELICA,903313.7,1030698
20-054946,2020-12,12/6/2020 0:17,Y, , ,1, ,38111,4,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL       ,999,N 2ND ST,35, ,@HOTEL- FOUR SEASONS,999,2ND,910439.8,1019433
02-054946,2020-12,12/6/2020 0:17,Y, , ,1, ,38111,4,ROBBERY CARJACKING /FIREARM USED/SUCCESSFUL       ,999,2ND,35,,,,,0,0
20-055244,2020-12,12/6/2020 0:25,Y, , ,1, ,152200,4,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,911,LOCUST,35,,,411,8TH,0,0
20-054965,2020-12,12/6/2020 0:45,Y, , ,1, ,64701,5,LARCENY-FROM MTR VEH UNDER $500                   ,4567,WEST PINE BLVD,38,ORIION APARTMENTS, ,4567,WEST PINE,889042.8,1022411
20-054951,2020-12,12/6/2020 0:46,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT                         ,0,NATURAL BRIDGE AVE / UNION BLV,52, , ,,,889230.8,1036273
20-054958,2020-12,12/6/2020 0:48,Y, , ,1, ,41011,4,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,2534,N GRAND BLVD,59, ,@HOTEL- GRAND MOTEL,,,899572.2,1026783
20-054991,2020-12,12/6/2020 1:00,Y, , ,1, ,64701,5,LARCENY-FROM MTR VEH UNDER $500                   ,5653,DR MARTIN LUTHER KING DR,50, , ,1910,OLIVE,883945.9,1033247
20-055098,2020-12,12/6/2020 1:00,Y, , ,1, ,71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,4005,ASHLAND,56,,,4005,ASHLAND,0,0
20-054993,2020-12,12/6/2020 1:00,Y, , ,1, ,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,1405,PINE ST,36, , ,1405,PINE,905730.9,1018275
20-054954,2020-12,12/6/2020 1:00,Y, , ,1, ,91114,3,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",3136,CALIFORNIA AVE,30, , ,3136,CALIFORNIA,897756.8,1006999
20-054955,2020-12,12/6/2020 1:02,Y, , ,1, ,31111,4,ROBBERY-HIGHWAY  /FIREARM USED/SUCCESSFUL         ,2915,UNIVERSITY ST,59, , ,,,900942.6,1027390
20-054989,2020-12,12/6/2020 1:10,Y, , ,1, ,43015,3,ASSLT-AGGRAV-OTH-WPN-2ND-ADULT-DOMESTIC           ,3022,TEXAS AVE,30, , ,3022,TEXAS,898788.2,1007299
20-054952,2020-12,12/6/2020 1:14,Y, , ,1, ,130000,6,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET    ",844,CANAAN AVE,74, ,1ST FLR,844,CANAAN,897012.9,1051158
20-054953,2020-12,12/6/2020 1:21,Y, , ,1, ,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,2114,N 10TH ST,64, , ,2810,9TH,908591.1,1024803
20-054956,2020-12,12/6/2020 1:25,Y, , ,1, ,265321,1,LEAVING SCENE OF ACCIDENT                         ,5325,VIRGINIA AVE,1, , ,,,892873.4,995260.7
20-054960,2020-12,12/6/2020 2:00,Y, , ,1, ,91113,1,SIMPLE ASSAULT-ADULT/NO INJURY                    ,4526,PENNSYLVANIA AVE,17, , ,4526,PENNSYLVANIA,895293.8,997857.6
20-055053,2020-12,12/6/2020 2:00,Y, , ,1, ,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,4435,S GRAND BLVD,16, , ,4435,GRAND,892553.4,999376.6
20-054959,2020-12,12/6/2020 2:15,Y, , ,1, ,91113,3,SIMPLE ASSAULT-ADULT/NO INJURY                    ,2600,CHOUTEAU AVE,31, ,@QT - JEFFERSON / CHOUTEAU,2600,CHOUTEAU,900507.7,1015458
20-054962,2020-12,12/6/2020 2:15,Y, , ,1, ,265321,3,LEAVING SCENE OF ACCIDENT                         ,0,N FLORISSANT AVE / SAINT LOUIS,30, ,ALIAS N FLOR%/ST LOUIS,,,905889.4,1025974
20-054961,2020-12,12/6/2020 2:20,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT                         ,0,38 64WB,37, ,@38 64WB,,,896018.5,1018977
20-054963,2020-12,12/6/2020 2:30,Y, , ,1, ,241100,6,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,6174,LALITE AVE,76, , ,6174,LALITE,888288.8,1045110
20-055140,2020-12,12/6/2020 2:48,Y, , ,1, ,152200,5,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,5600,GREER,50,,,5600,GREER,0,0
20-055007,2020-12,12/6/2020 4:00,Y, , ,1, ,21000,6,RAPE -- FORCIBLE                                  ,4600,BESSIE AVE,69, , ,4600,BESSIE,0,0
20-054967,2020-12,12/6/2020 4:24,Y, , ,1, ,65711,5,LARCENY-MTR VEH PARTS UNDER $500 /ATTEMPT         ,4115,MCPHERSON AVE,38, ,CENTENNIAL PLAZA,4115,MCPHERSON,892841.2,1022730
20-054971,2020-12,12/6/2020 5:40, ,Y, ,-1, ,10000,1,HOMICIDE                                          ,4410,GRAVOIS AVE,5, , ,4410,GRAVOIS,888764.8,1002252
20-054971,2020-12,12/6/2020 5:40,Y, , ,1, ,10000,1,HOMICIDE                                          ,4410,GRAVOIS AVE,5, , ,4410,GRAVOIS,888764.8,1002252
20-054971,2020-12,12/6/2020 5:40,Y, , ,1, ,43203,1,AGG.ASSAULT-OTH DANG WEP/POL OFFC 3RD DEGREE      ,4410,GRAVOIS AVE,5, , ,4410,GRAVOIS,888764.8,1002252
20-055011,2020-12,12/6/2020 6:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,815,COLE ST,62, ,APPARTMENT BUILDING,815,COLE,908613.1,1020002
20-054973,2020-12,12/6/2020 6:00,Y, , ,1, ,142320,1,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3657,GASCONADE ST,16, ,2ND FLOOR,3657,GASCONADE,892626.8,1001196
20-054975,2020-12,12/6/2020 8:00,Y, , ,1, ,91114,5,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",2600,BURD AVE,50, , ,2600,BURD,885672.3,1034313
20-054979,2020-12,12/6/2020 8:45,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,1656,MCLARAN AVE,73, , ,1656,MCLARAN,892746,1050011
20-054978,2020-12,12/6/2020 9:30,Y, , ,1, ,151110,5,WEAPONS-STATE VIOL/UNLWFL USE/POSSESSION          ,2828,N EUCLID AVE,55, , ,4890,SAINT LOUIS,890724.8,1032599
20-054986,2020-12,12/6/2020 10:00,Y, , ,1, ,91113,1,SIMPLE ASSAULT-ADULT/NO INJURY                    ,4200,CHIPPEWA ST,16,MCDONALDS, ,,,889075.3,1003503
20-054986,2020-12,12/6/2020 10:00,Y, , ,1, ,91113,1,SIMPLE ASSAULT-ADULT/NO INJURY                    ,4200,CHIPPEWA ST,16,MCDONALDS, ,,,889075.3,1003503
20-055998,2020-12,12/6/2020 10:00,Y, , ,1, ,51312,2,BURGLARY-RESDNCE/UNK TIM/FORC ENT/UNOCCUPIED      ,2019,GRAND,27,,,2019,GRAND,0,0
20-054987,2020-12,12/6/2020 10:05,Y, , ,1, ,43014,4,ASSLT-AGGRAV-OTH-WPN-1ST-ADULT-DOMESTIC           ,3616,NATURAL BRIDGE AVE,59, , ,,,900804.4,1029637
20-054984,2020-12,12/6/2020 10:18,Y, , ,1, ,51112,2,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED       ,5828,LINDENWOOD AVE,14,BASEMENT/STORAGE UNIT, ,5828,LINDENWOOD,879502.3,1005160
20-054990,2020-12,12/6/2020 10:30,Y, , ,1, ,41013,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE      ,4295,KOSSUTH AVE,68, ,APT 2W,4295,KOSSUTH,897129.4,1033686
20-055190,2020-12,12/6/2020 10:30,Y, , ,1, ,64711,2,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT         ,920,TAYLOR,39,,,920,TAYLOR,0,0
20-055040,2020-12,12/6/2020 11:00,Y, , ,1, ,64701,3,LARCENY-FROM MTR VEH UNDER $500                   ,3432,MIAMI ST,19, , ,3432,MIAMI,894158.5,1004260
20-054992,2020-12,12/6/2020 11:00,Y, , ,1, ,71013,6,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,4452,ELMBANK AVE,56, , ,4452,ELMBANK,894307.6,1031929
20-055487,2020-12,12/6/2020 12:15,Y, , ,1, ,65711,1,LARCENY-MTR VEH PARTS UNDER $500 /ATTEMPT         ,4610,CHIPPEWA,16,PARKING LOT OF HARBOR FREIGHT TOOLS,,,,0,0
20-055578,2020-12,12/6/2020 12:30,Y, , ,1, ,69702,3,LARCENY-ALL OTHER UNDER $500                      ,3622,BROADWAY,18,,,3622,BROADWAY,0,0
20-054994,2020-12,12/6/2020 12:40,Y, , ,1, ,266510,4,PUBLIC ORDER-TRESPASSING                          ,209,WALNUT ST,35,BASILICA OF SAINT LOUIS KING OF FRANCE,OLD CATHEDRAL,,,909922.1,1016467
20-055002,2020-12,12/6/2020 12:41,Y, , ,1, ,67601,5,"LARCENY-FROM BUILDING $500 - $24,999              ",1225,UNION BLVD,48, ,@WALGREENS - 1225 UNION,1225,UNION,885132.9,1029391
20-054999,2020-12,12/6/2020 12:45,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT                         ,0,I 70 EASTBOUND / UNION BLVD,70, , ,,,891197.8,1039591
20-055150,2020-12,12/6/2020 14:00,Y, , ,1, ,64701,2,LARCENY-FROM MTR VEH UNDER $500                   ,3942,FLAD,27,,,3942,FLAD,0,0
20-055247,2020-12,12/6/2020 14:00,Y, , ,1, ,65601,2,"LARCENY-MTR VEH PARTS $500 - $24,999              ",6353,MANCHESTER,42,DEALS ON WHEELS,,6353,MANCHESTER,0,0
20-055037,2020-12,12/6/2020 14:00,Y, , ,1, ,51112,2,BURGLARY-RESIDENCE/DAY/FORCE ENT/UNOCCUPIED       ,4106,FOLSOM AVE,28, , ,4106,FOLSOM,891540.3,1014935
20-055021,2020-12,12/6/2020 14:30,Y, , ,1, ,64711,1,LARCENY-FROM MTR VEH UNDER $500  /ATTEMPT         ,0,BATES ST / LOUISIANA AVE,1, , ,927,BATES,891102.4,995562.3
20-056204,2020-12,12/6/2020 15:00,Y, , ,1, ,65601,5,"LARCENY-MTR VEH PARTS $500 - $24,999              ",5610,ENRIGHT,48,,,5610,ENRIGHT,0,0
20-055025,2020-12,12/6/2020 15:10,Y, , ,1, ,91123,1,SIMPLE ASSAULT-CHILD/NO INJURY                    ,3702,MERAMEC ST,16, , ,3702,MERAMEC,892694.5,1000730
20-055025,2020-12,12/6/2020 15:10,Y, , ,1, ,41013,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE      ,3702,MERAMEC ST,16, , ,3702,MERAMEC,892694.5,1000730
20-055259,2020-12,12/6/2020 15:11,Y, , ,1, ,152200,6,WEAPONS-CITY VIOL/DISCHRGING IN CITY              ,4328,ASHLAND,56,,,4328,ASHLAND,0,0
20-055010,2020-12,12/6/2020 15:22,Y, , ,1, ,182400,2,DRUGS-POSSESSION/MARIJUANA                        ,5247,CHIPPEWA ST,14, , ,5247,CHIPPEWA,882819.4,1004583
20-055027,2020-12,12/6/2020 15:30,Y, , ,1, ,69702,2,LARCENY-ALL OTHER UNDER $500                      ,4132,UTAH ST,15, , ,4132,UTAH,889591.4,1006781
20-056079,2020-12,12/6/2020 16:00,Y, , ,1, ,71013,4,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,,,36,,,,,0,0
20-055017,2020-12,12/6/2020 16:00,Y, , ,1, ,63701,2,LARCENY-SHOPLIFT UNDER $500                       ,4255,HAMPTON AVE,8,@TARGET,@TARGET,4255,HAMPTON,878653.4,1004650
20-055014,2020-12,12/6/2020 16:09,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT                         ,0,LALITE AVE / MIMIKA AVE,76, , ,,,888974.4,1044776
20-055018,2020-12,12/6/2020 16:20,Y, , ,1, ,42011,6,AGG.ASSAULT-KNIFE/CITIZEN ADULT 1ST DEGREE        ,0,ASHLAND AVE / FAIR AVE,56, , ,3056,FAIR,897314.1,1030784
20-055016,2020-12,12/6/2020 16:24,Y, , ,1, ,41013,1,AGG.ASSAULT-FIREARM/CITIZEN ADULT 3RD DEGREE      ,5532,TENNESSEE AVE,1, , ,5535,TENNESSEE,890930.3,995856
20-055019,2020-12,12/6/2020 16:30,Y, , ,1, ,71013,1,AUTO THEFT-PERM RETNT/UNRECOV OVER 48HR           ,5032,S GRAND BLVD,16, , ,5032,GRAND,891392.4,997212.4
20-055023,2020-12,12/6/2020 16:30,Y, , ,1, ,241100,6,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,4848,SAN FRANCISCO AVE,69, , ,4848,SAN FRANCISCO,892610.8,1034999
20-055359,2020-12,12/6/2020 16:30,Y, , ,1, ,67701,4,LARCENY-FROM BUILDING UNDER $500                  ,999,2ND,35,Lumiere Place Casino and Hotel,,999,2ND,0,0
20-055082,2020-12,12/6/2020 17:00,Y, , ,1, ,64601,3,"LARCENY-FROM MTR VEH $500 - $24,999               ",2011,RUSSELL,23,,,2011,RUSSELL,0,0
20-055028,2020-12,12/6/2020 17:00,Y, , ,1, ,63701,2,LARCENY-SHOPLIFT UNDER $500                       ,4255,HAMPTON AVE,8, ,@TARGET,4255,HAMPTON,878653.4,1004650
20-055020,2020-12,12/6/2020 17:07,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3709,MINNESOTA AVE,19, , ,3709,MINNESOTA,895639.4,1003319
20-055042,2020-12,12/6/2020 17:10,Y, , ,1, ,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,4218,W KOSSUTH AVE,68, , ,4218,KOSSUTH,896850.2,1033680
20-055026,2020-12,12/6/2020 17:20,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT                         ,0,DELMAR BLVD / N SKINKER BLVD,46, , ,,,877404.6,1027557
20-055032,2020-12,12/6/2020 17:30,Y, , ,1, ,91114,6,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",4110,CAMELLIA AVE,69, , ,,,895555.4,1034654
20-055032,2020-12,12/6/2020 17:30,Y, , ,1, ,91114,6,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",4110,CAMELLIA AVE,69, , ,,,895555.4,1034654
20-055134,2020-12,12/6/2020 18:00,Y, , ,1, ,65701,1,LARCENY-MTR VEH PARTS UNDER $500                  ,5724,CORONADO,3,,,5724,CORONADO,0,0
20-055136,2020-12,12/6/2020 18:00,Y, , ,1, ,65701,1,LARCENY-MTR VEH PARTS UNDER $500                  ,3928,DUNNICA,16,,,3928,DUNNICA,0,0
20-055085,2020-12,12/6/2020 18:18,Y, , ,1, ,64701,4,LARCENY-FROM MTR VEH UNDER $500                   ,1500,OLIVE,36,,,1500,OLIVE,0,0
20-055030,2020-12,12/6/2020 18:18,Y, , ,1, ,142320,6,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,4622,SACRAMENTO AVE,69, , ,4622,SACRAMENTO,893924.8,1033907
20-055039,2020-12,12/6/2020 18:22,Y, , ,1, ,103000,3,FORGERY-ISSUING FALSE INSTRUMENT OR CERTIFICAT    ,2600,CHOUTEAU AVE,31, ,@QT - JEFFERSON / CHOUTEAU,2600,CHOUTEAU,900507.7,1015458
20-055038,2020-12,12/6/2020 18:24,Y, , ,1, ,130000,5,"STOLEN PROPERTY-BUYING,RECEIVING,POSSESSING,ET    ",4577,MCKINLEY AVE,38,WASHINGTON UNIVERSITY, ,825,EUCLID,887959.2,1020062
20-055036,2020-12,12/6/2020 18:30,Y, , ,1, ,92000,1,SIMPLE ASSAULT-HARRASSMENT                        ,5550,S GRAND BLVD,1, ,@WALGREENS - 5550 S GRAND,5550,GRAND,890701.1,995885.1
20-055094,2020-12,12/6/2020 18:30,Y, , ,1, ,51222,2,BURGLARY-RESIDENCE/NIT/UNLAW ENT/UNOCCUPIED       ,4158,BOTANICAL,27,,,4158,BOTANICAL,0,0
20-055155,2020-12,12/6/2020 18:30,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT                         ,,,37,,,,,0,0
20-055034,2020-12,12/6/2020 18:44,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT                         ,0,N 9TH ST / OLIVE ST,35, , ,,,907779.2,1018012
20-055041,2020-12,12/6/2020 18:46,Y, , ,1, ,265321,6,LEAVING SCENE OF ACCIDENT                         ,5018,N KINGSHIGHWAY BLVD,71, , ,5018,KINGSHIGHWAY,893345.1,1039072
20-055299,2020-12,12/6/2020 19:00,Y, , ,1, ,64701,2,LARCENY-FROM MTR VEH UNDER $500                   ,2624,KINGSHIGHWAY,13,,,2624,KINGSHIGHWAY,0,0
20-055047,2020-12,12/6/2020 19:00,Y, , ,1, ,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999               ",0,N SPRING AVE / WESTMINSTER PL,77, , ,,,895651.3,1021526
20-055197,2020-12,12/6/2020 19:00,Y, , ,1, ,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999               ",,,77,,,,,0,0
20-055201,2020-12,12/6/2020 19:00,Y, , ,1, ,51322,5,BURGLARY-RESDNCE/UNK TIM/UNLW EN/UNOCCUPIED       ,4445,LACLEDE,38,,,4445,LACLEDE,0,0
20-055043,2020-12,12/6/2020 19:55,Y, , ,1, ,263299,4,OBSTRUCT GOVRN OP-JUDIC/OTHR UNSPC JUDIC VIOL     ,3105,BRANTNER PL,59, , ,3105,BRANTNER,899409.9,1024052
20-055087,2020-12,12/6/2020 20:00,Y, , ,1, ,142320,4,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,300,4TH,35,Mansion House,,300,4TH,0,0
20-055044,2020-12,12/6/2020 20:00,Y, , ,1, ,36421,5,ROBBERY-COMMERCE PL/STRNGARM/NO INJ/SUCCESS       ,4318,DR MARTIN LUTHER KING DR,58,BLACK BEAUTY SUPPLY (NOT YET OPEN), ,4318,DR MARTIN LUTHER KING,893493.7,1027553
20-055045,2020-12,12/6/2020 20:30,Y, , ,1, ,91113,1,SIMPLE ASSAULT-ADULT/NO INJURY                    ,1020,LOUGHBOROUGH AVE,1,SCHNUCKS, ,1020,LOUGHBOROUGH,888369.9,991903
20-055147,2020-12,12/6/2020 20:30,Y, , ,1, ,52330,2,BURGLARY-BUSINESS/UNK TIME/FORC ENT/OCCUPIED      ,3811,,14,,,3811,KINGSHIGHWAY,0,0
20-055048,2020-12,12/6/2020 20:30,Y, , ,1, ,266210,5,PUBLIC ORDER-DECEPTIVE BUSINESS PRACTICES         ,5621,CABANNE AVE,48, , ,5621,CABANNE,882347.1,1028834
20-055046,2020-12,12/6/2020 20:45,Y, , ,1, ,64701,3,LARCENY-FROM MTR VEH UNDER $500                   ,0,LAFAYETTE AVE / MISSISSIPPI AV,32, , ,,,901912.8,1012632
20-055049,2020-12,12/6/2020 21:00,Y, , ,1, ,91114,4,"ASSAULT, ADULT, AGE 17 AND UP-DOMESTIC            ",3903,W BELLE PL,77, , ,,,895522.6,1023962
20-055050,2020-12,12/6/2020 21:22,Y, , ,1, ,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,8909,GOODFELLOW BLVD,73, , ,,,892743.5,1051477
20-055422,2020-12,12/6/2020 21:30,Y, , ,1, ,65601,6,"LARCENY-MTR VEH PARTS $500 - $24,999              ",8966,HALLS FERRY,74,FRANK AUTO SALES,,8966,HALLS FERRY,0,0
20-055051,2020-12,12/6/2020 21:58,Y, , ,1, ,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,0,LABADIE AVE / N NEWSTEAD AVE,56, , ,,,894499.7,1031140
20-055051,2020-12,12/6/2020 21:58,Y, , ,1, ,41011,6,AGG.ASSAULT-FIREARM/CITIZEN ADULT 1ST DEGREE      ,0,LABADIE AVE / N NEWSTEAD AVE,56, , ,,,894499.7,1031140
20-055080,2020-12,12/6/2020 22:00,Y, , ,1, ,71030,1,AUTO THEFT-PERM RETNT/JOY RIDE                    ,4906,ITASKA,7,,,4906,ITASKA,0,0
20-055202,2020-12,12/6/2020 22:00,Y, , ,1, ,142320,2,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,3822,KINGSHIGHWAY,15,Walgreens,,3822,KINGSHIGHWAY,0,0
20-055123,2020-12,12/6/2020 22:00,Y, , ,1, ,142320,3,DESTRUCTION OF PROPERTY-MALICIOUS/PRIV PROP       ,,,33,,,,,0,0
20-055300,2020-12,12/6/2020 22:00,Y, , ,1, ,65701,6,LARCENY-MTR VEH PARTS UNDER $500                  ,5401,GERALDINE,71,,,5401,GERALDINE,0,0
20-055290,2020-12,12/6/2020 22:00,Y, , ,1, ,64601,4,"LARCENY-FROM MTR VEH $500 - $24,999               ",1627,WASHINGTON,36,,,1627,WASHINGTON,0,0
20-055130,2020-12,12/6/2020 22:00,Y, , ,1, ,265321,4,LEAVING SCENE OF ACCIDENT                         ,901,SPRUCE,35,,,900,SPRUCE,0,0
20-055106,2020-12,12/6/2020 22:00,Y, , ,1, ,265321,5,LEAVING SCENE OF ACCIDENT                         ,4456,EVANS,54,4456 Evans Ave,,4456,EVANS,0,0
20-055061,2020-12,12/6/2020 22:23,Y, , ,1, ,241100,6,DISORDERLY CONDUCT-PEACE DSTRB/INDIVIDUAL         ,4243,E SAN FRANCISCO AVE,68, , ,4243,SAN FRANCISCO,897067.9,1032638
20-055108,2020-12,12/6/2020 22:30,Y, , ,1, ,71030,1,AUTO THEFT-PERM RETNT/JOY RIDE                    ,3930,BOWEN,3,,,3930,BOWEN,0,0
